Question,Opt1,Opt2,Opt3,Opt4,CorrectAnswer
Which dynasty ruled the western coast trade routes?,Cheras,Cholas,Pandyas,Pallavas,Cheras
Which sea was connected to Chera trade?,Arabian Sea,Bay of Bengal,Red Sea,South China Sea,Arabian Sea
Which port among the following belonged to the Cheras?,Tondi,Korkai,Puhar,Uraiyur,Tondi
Which literary work praises Chera kings extensively?,Pathitrupathu,Maduraikkanji,Pattinappaalai,Nedunalvadai,Pathitrupathu
Which foreign empire traded heavily with the Cheras?,Romans,Chinese,Persians,Mongols,Romans
Which Chera ruler brought fame to the Pattini cult?,Senguttuvan,Udayan Cheralathan,Irumporai,Neduncheralathan,Senguttuvan
Which royal title helps identify a Chera king in TNPSC exams?,Irumporai,Sezhiyan,Sembiyan,Killi,Irumporai
Which dynasty used the Palmyra flower garland?,Cheras,Cholas,Pandyas,Velirs,Cheras
Which Chera ruler is praised in Sangam poems for military success?,Neduncheralathan,Senguttuvan,Udayan Cheralathan,Irumporai,Neduncheralathan
Which kingdom controlled Muziris and Tondi?,Cheras,Cholas,Pandyas,Pallavas,Cheras
Which dynasty is associated with western hill tribes in Sangam literature?,Cheras,Cholas,Pandyas,Velirs,Cheras
Which dynasty ruled central and northern Kerala?,Cheras,Cholas,Pandyas,Pallavas,Cheras
Which trade item from Chera land reached Egyptian mummies?,Pepper,Pearls,Horses,Corals,Pepper
Which Chera ruler is associated with northern expeditions?,Senguttuvan,Irumporai,Udayan Cheralathan,Neduncheralathan,Senguttuvan
Which Sangam dynasty had Karur as an important center?,Cheras,Cholas,Pandyas,Pallavas,Cheras
Which Chera port was famous for spice trade?,Muziris,Korkai,Puhar,Arikamedu,Muziris
Which dynasty used Bow and Arrow as royal symbol?,Cheras,Cholas,Pandyas,Ay,Cheras
Which Chera ruler is known through Pugalur inscription?,Irumporai,Karikalan,Nedunchezhiyan,Kocengannan,Irumporai
Which Sangam ruler is connected with Kannagi worship?,Senguttuvan,Karikalan,Nedunchezhiyan,Mudukudumi,Senguttuvan
Which dynasty ruled from Vanchi?,Cheras,Cholas,Pandyas,Pallavas,Cheras
Which Chola city served as inland capital?,Uraiyur,Puhar,Korkai,Vanchi,Uraiyur
Which Chola city served as coastal capital?,Puhar,Uraiyur,Korkai,Madurai,Puhar
What was another name of Puhar?,Kaveripoompattinam,Musiri,Korkai,Vanchi,Kaveripoompattinam
Which dynasty ruled the fertile Kaveri delta?,Cholas,Cheras,Pandyas,Pallavas,Cholas
What was the royal emblem of the Cholas?,Tiger,Bow and Arrow,Twin Fish,Lion,Tiger
Which flower served as Chola royal garland?,Athi flower,Palmyra flower,Neem flower,Lotus,Athi flower
Which title belonged to Chola rulers?,Killi,Valuthi,Irumporai,Maran,Killi
Which title belonged to Chola rulers?,Senni,Vanavan,Sezhiyan,Kuttuvan,Senni
Which title belonged to Chola rulers?,Sembiyan,Irumporai,Valuthi,Maran,Sembiyan
Who is regarded as the greatest Sangam Chola king?,Karikalan,Kocengannan,Killi Valavan,Perunarkilli,Karikalan
Which Chola king built Kallanai?,Karikalan,Kocengannan,Killi Valavan,Perunarkilli,Karikalan
Across which river was Kallanai built?,Kaveri,Vaigai,Palar,Tamirabarani,Kaveri
Approximately how many acres were irrigated by Kallanai?,69000 acres,50000 acres,100000 acres,25000 acres,69000 acres
Which battle established Karikalan's supremacy?,Battle of Venni,Battle of Talayalanganam,Battle of Pullalur,Battle of Takkolam,Battle of Venni
Who were defeated by Karikalan at Venni?,Cheras and Pandyas,Cheras and Pallavas,Pandyas and Pallavas,Romans and Cheras,Cheras and Pandyas
How many Velir chiefs were defeated by Karikalan at Venni?,Eleven,Seven,Five,Three,Eleven
Which Chola ruler converted forests into cultivable lands?,Karikalan,Kocengannan,Perunarkilli,Killi Valavan,Karikalan
Which literary work praises Karikalan and Puhar?,Pattinappaalai,Maduraikkanji,Pathitrupathu,Paripadal,Pattinappaalai
Who authored Pattinappaalai?,Kadiyalur Uruttirangannanar,Nakkirar,Kapilar,Sattanar,Kadiyalur Uruttirangannanar
Which Chola king was known for piety?,Kocengannan,Karikalan,Killi Valavan,Perunarkilli,Kocengannan
Which Chola ruler was famous for strong chariots?,Ilanchetsenni,Karikalan,Kocengannan,Perunarkilli,Ilanchetsenni
Which Chola port was a major center of maritime trade?,Puhar,Korkai,Tondi,Muziris,Puhar
Which ocean trade network enriched the Cholas?,Indian Ocean,Atlantic Ocean,Pacific Ocean,Arctic Ocean,Indian Ocean
Which dynasty used Tiger as royal symbol?,Cholas,Cheras,Pandyas,Ay,Cholas
Which Chola ruler is associated with irrigation development?,Karikalan,Kocengannan,Killi Valavan,Perunarkilli,Karikalan
Which Chola city was famous for cotton textiles?,Uraiyur,Kanchi,Korkai,Madurai,Uraiyur
Which Chola ruler fought the Venni battle?,Karikalan,Killi Valavan,Perunarkilli,Kocengannan,Karikalan
Which dynasty controlled the Kaveri delta trade routes?,Cholas,Cheras,Pandyas,Pallavas,Cholas
Which title identifies a Chola king in match-the-following questions?,Killi,Valuthi,Irumporai,Vanavan,Killi
Which flower garland belonged to Cholas?,Athi flower,Neem flower,Palmyra flower,Lotus,Athi flower
Which Chola ruler was praised in Pattinappaalai?,Karikalan,Kocengannan,Killi Valavan,Perunarkilli,Karikalan
Which city was known for Chola maritime trade?,Puhar,Korkai,Vanchi,Madurai,Puhar
Which Chola ruler built one of the oldest dams in the world?,Karikalan,Kocengannan,Killi Valavan,Perunarkilli,Karikalan
Which Sangam Chola king is linked with agricultural prosperity?,Karikalan,Kocengannan,Perunarkilli,Ilanchetsenni,Karikalan
Which Chola kingdom extended up to Venkatam hills?,Sangam Cholas,Cheras,Pandyas,Pallavas,Sangam Cholas
Which dynasty had Uraiyur as capital?,Cholas,Cheras,Pandyas,Pallavas,Cholas
Which Chola ruler is often celebrated in Sangam poems?,Karikalan,Kocengannan,Perunarkilli,Killi Valavan,Karikalan
Which dynasty controlled Puhar?,Cholas,Cheras,Pandyas,Pallavas,Cholas
Which Chola ruler defeated a confederacy of rulers at Venni?,Karikalan,Kocengannan,Killi Valavan,Perunarkilli,Karikalan
Which Chola dynasty symbol appeared on coins?,Tiger,Bow and Arrow,Fish,Elephant,Tiger
Which Chola ruler is remembered for public works?,Karikalan,Killi Valavan,Perunarkilli,Kocengannan,Karikalan
Which dynasty ruled southern Tamil Nadu?,Pandyas,Cheras,Cholas,Pallavas,Pandyas
What was the inland capital of the Pandyas?,Madurai,Korkai,Uraiyur,Vanchi,Madurai
What was the coastal capital of the Pandyas?,Korkai,Puhar,Muziris,Tondi,Korkai
Which Pandyan port was famous for pearl fishing?,Korkai,Muziris,Puhar,Tondi,Korkai
Which gulf was famous for Pandyan pearl fisheries?,Gulf of Mannar,Bay of Bengal,Arabian Sea,Red Sea,Gulf of Mannar
What was the royal emblem of the Pandyas?,Twin Fish,Tiger,Bow and Arrow,Lion,Twin Fish
Which flower served as the Pandyan royal garland?,Neem flower,Palmyra flower,Athi flower,Lotus,Neem flower
Which title belonged to Pandya rulers?,Valuthi,Killi,Vanavan,Irumporai,Valuthi
Which title belonged to Pandya rulers?,Maran,Sembiyan,Senni,Kuttuvan,Maran
Which title identifies a Pandya king?,Sezhiyan,Killi,Vanavan,Irumporai,Sezhiyan
Which dynasty patronized the Tamil Sangams?,Pandyas,Cheras,Cholas,Pallavas,Pandyas
Which city was called Sangam Valartha Nagaram?,Madurai,Kanchi,Puhar,Uraiyur,Madurai
Which Pandyan king won the Battle of Talayalanganam?,Nedunchezhiyan,Nanmaran,Nediyon,Mudukudumi,Nedunchezhiyan
Who were defeated by Nedunchezhiyan at Talayalanganam?,Cheras Cholas and Velirs,Pallavas and Cholas,Romans and Cheras,Ay and Velirs,Cheras Cholas and Velirs
Which title was earned by Nedunchezhiyan after victories?,Lord of Korkai,Vanavan,Sembiyan,Imayavaramban,Lord of Korkai
Which Pandyan ruler performed many Vedic sacrifices?,Mudukudumi Peruvazhuthi,Nedunchezhiyan,Nediyon,Nanmaran,Mudukudumi Peruvazhuthi
Which Pandyan ruler issued coins to commemorate sacrifices?,Mudukudumi Peruvazhuthi,Nedunchezhiyan,Nediyon,Nanmaran,Mudukudumi Peruvazhuthi
What was typically depicted on the obverse of Pandyan coins?,Elephant,Tiger,Fish,Bow and Arrow,Elephant
What was usually depicted on the reverse of Pandyan coins?,Fish,Elephant,Tiger,Horse,Fish
Which dynasty used Twin Fish as royal symbol?,Pandyas,Cheras,Cholas,Pallavas,Pandyas
Which city was famous for Pandyan markets?,Madurai,Korkai,Puhar,Vanchi,Madurai
What was the day market in Madurai called?,Nalangadi,Allangadi,Sungam,Avai,Nalangadi
What was the evening market in Madurai called?,Allangadi,Nalangadi,Puhar,Mandram,Allangadi
Which Pandyan ruler is considered an early legendary king?,Nediyon,Karikalan,Senguttuvan,Kocengannan,Nediyon
Which Pandyan ruler is another legendary early ruler?,Nanmaran,Karikalan,Senguttuvan,Perunarkilli,Nanmaran
Which dynasty controlled pearl fisheries?,Pandyas,Cheras,Cholas,Pallavas,Pandyas
Which sea coast enriched the Pandyas with pearls?,Gulf of Mannar,Arabian Sea,Red Sea,South China Sea,Gulf of Mannar
Which dynasty ruled from Madurai?,Pandyas,Cheras,Cholas,Pallavas,Pandyas
Which dynasty used Neem flower garland?,Pandyas,Cheras,Cholas,Velirs,Pandyas
Which dynasty used Maran and Valuthi titles?,Pandyas,Cheras,Cholas,Pallavas,Pandyas
Which Pandyan ruler was hailed as greatest warrior?,Nedunchezhiyan,Nediyon,Nanmaran,Mudukudumi,Nedunchezhiyan
Which literary work gives information about Madurai and Pandyas?,Maduraikkanji,Pattinappaalai,Pathitrupathu,Paripadal,Maduraikkanji
Which city was famous for pearl trade?,Korkai,Puhar,Uraiyur,Vanchi,Korkai
Which dynasty's coins carried fish symbol?,Pandyas,Cheras,Cholas,Ay,Pandyas
Which Pandyan port attracted foreign traders?,Korkai,Puhar,Uraiyur,Kanchi,Korkai
Which dynasty patronized Tamil literature in Madurai?,Pandyas,Cheras,Cholas,Pallavas,Pandyas
Which Pandyan ruler defeated confederate enemies at Talayalanganam?,Nedunchezhiyan,Mudukudumi,Nediyon,Nanmaran,Nedunchezhiyan
Which dynasty ruled the southern tip of Tamilakam?,Pandyas,Cheras,Cholas,Pallavas,Pandyas
Which dynasty was associated with pearl hunting?,Pandyas,Cheras,Cholas,Velirs,Pandyas
