Question,Opt1,Opt2,Opt3,Opt4,CorrectAnswer
Which tools were widely used in the Later Vedic period?,Iron axes and ploughs,Bronze knives,Stone tools,Wooden carts,Iron axes and ploughs
What are the archaeological sources of the Vedic Age?,Coins only,Iron implements and pottery,Temples only,Paintings only,Iron implements and pottery
In which regions were Vedic archaeological remains found?,Kerala and Tamil Nadu,Punjab Uttar Pradesh and Rajasthan,Bengal and Odisha,Gujarat and Maharashtra,Punjab Uttar Pradesh and Rajasthan
Vedic literature is divided into?,Two categories,Three categories,Four categories,Five categories,Two categories
What are the two categories of Vedic literature?,Shruti and Smriti,Veda and Purana,Ramayana and Mahabharata,Sutra and Tantra,Shruti and Smriti
What does Shruti mean?,Written text,Listening,Remembered law,Story book,Listening
Which texts were transmitted orally through generations?,Smritis,Shrutis,Puranas,Sutras,Shrutis
Which texts are considered sacred and eternal?,Shrutis,Smritis,Puranas,Tantras,Shrutis
How many Vedas are there?,Two,Three,Four,Six,Four
Which Veda is the oldest?,Atharva Veda,Sama Veda,Rig Veda,Yajur Veda,Rig Veda
Which of the following belongs to Shruti literature?,Four Vedas Brahmanas Aranyakas Upanishads,Ramayana,Manu Smriti,Puranas,Four Vedas Brahmanas Aranyakas Upanishads
Which of the following belongs to Smriti literature?,Rig Veda,Brahmanas,Ithihasas Puranas Sutras Tantras Dharmasutras and Agamas,Aranyakas,Ithihasas Puranas Sutras Tantras Dharmasutras and Agamas
What does Smriti mean?,Listening,Remembered,Prayer,Teaching,Remembered
Which are known as Ithihasas?,Rig Veda and Sama Veda,Ramayana and Mahabharatha,Shiva Purana and Vishnu Purana,Yajur Veda and Atharva Veda,Ramayana and Mahabharatha
Which text is an example of a Purana?,Mahabharatha,Vishnu Purana and Shiva Purana,Rig Veda,Sama Veda,Vishnu Purana and Shiva Purana
Which text is an example of Smriti?,Narada Smriti and Manu Smriti,Rig Veda,Sama Veda,Upanishads,Narada Smriti and Manu Smriti
What was the main wealth in the Early Vedic period?,Land,Cattle,Gold,Iron,Cattle
What became important wealth in the Later Vedic period?,Cattle only,Land and agriculture,Horses only,Trade only,Land and agriculture
Which metal became widespread in the Later Vedic period?,Gold,Iron,Silver,Tin,Iron
What was the basic unit of Early Vedic administration?,Vis,Jana,Kula,Grama,Kula
Who was the head of a Kula?,Gramani,Kulapati,Rajan,Senani,Kulapati
A group of families formed a?,Jana,Vis,Grama,Rashtra,Grama
Who was the head of a village?,Purohit,Gramani,Senani,Vishayapati,Gramani
A group of villages formed a?,Kula,Vis,Sabha,Samiti,Vis
Who was the head of a Vis?,Rajan,Senani,Vishayapati,Purohit,Vishayapati
What was the largest tribal unit in the Early Vedic period?,Kula,Grama,Vis,Jana,Jana
Who was the head of a Jana?,Kulapati,Rajan,Gramani,Senani,Rajan
What was the title of the King in the Vedic Age?,Chakravarti,Janasyagopa,Maharaja,Samrat,Janasyagopa
What does Janasyagopa mean?,Lord of land,Guardian of the people,King of kings,Protector of cattle,Guardian of the people
Who was the chief priest in the Vedic polity?,Senani,Purohit,Gramani,Vishayapati,Purohit
Who was the army chief in the Vedic polity?,Purohit,Senani,Rajan,Kulapati,Senani
Which tribal assembly was the oldest?,Sabha,Samiti,Vidhata,Gana,Vidhata
Which assembly was a council of elders?,Sabha,Samiti,Vidhata,Gana,Sabha
Which assembly represented the general people?,Sabha,Samiti,Vidhata,Rashtra,Samiti
What happened to tribal assemblies in the Later Vedic period?,They became powerful,Their importance declined,They ruled kingdoms,They became temples,Their importance declined
What were territorial kingdoms called in the Later Vedic period?,Janapadas only,Rashtras or Janapadas,Mahajanapadas only,Empires,Rashtras or Janapadas
What type of kingship emerged in the Later Vedic period?,Elective kingship,Hereditary kingship,Democratic kingship,Military rule,Hereditary kingship
Which kingdoms became prominent in the Later Vedic period?,Chera and Chola,Kuru and Panchala,Pandya and Pallava,Maurya and Gupta,Kuru and Panchala
Which city emerged during the Later Vedic period?,Harappa,Ayodhya Indraprastha and Mathura,Lothal,Dholavira,Ayodhya Indraprastha and Mathura
What was Bali in the Early Vedic period?,Compulsory tax,Voluntary contribution,Land grant,Temple donation,Voluntary contribution
What did Bali become in the Later Vedic period?,Gift to priests,Compulsory tax,Military reward,Trade duty,Compulsory tax
What was the rate of Bali tax?,1/10,1/6,1/4,1/8,1/6
Who headed the patriarchal family in Vedic society?,Youngest son,Eldest male member,Priest,Eldest woman,Eldest male member
Which group considered themselves fair-complexioned?,Dasyus,Aryans,Dasas,Sudras,Aryans
Who were considered non-Aryans in Vedic society?,Brahmanas,Dasyus and Dasas,Kshatriyas,Vaishyas,Dasyus and Dasas
Who were the priestly class in the Varna system?,Sudras,Brahmanas,Kshatriyas,Vaishyas,Brahmanas
Who were the warrior class in the Varna system?,Vaishyas,Sudras,Kshatriyas,Brahmanas,Kshatriyas
Who were the land-owning/general public class?,Brahmanas,Kshatriyas,Vaishyas,Sudras,Vaishyas
Which Varna was added later to accommodate non-Aryans?,Brahmanas,Sudras (Skilled Workers),Kshatriyas,Vaishyas,Sudras (Skilled Workers)
Women enjoyed greater freedom during which period?,Later Vedic Period,Rig Vedic Period,Mauryan Period,Gupta Period,Rig Vedic Period
During which period did women lose the right to perform rituals?,Rig Vedic Period,Later Vedic Period,Sangam Age,Indus Age,Later Vedic Period
Which practice was unknown in the Early Vedic period?,Marriage,Sati,Agriculture,Trade,Sati
Was widow remarriage allowed in the Early Vedic period?,No,Yes,Only for queens,Only for Sudras,Yes
What became common in the Later Vedic period?,Monogamy only,Polygamy,Polyandry,None,Polygamy
Which crop was the staple food in the Early Vedic period?,Rice,Wheat,Barley,Cotton,Barley
What was barley called in the Rig Veda?,Ayas,Yava,Hiranya,Krishnala,Yava
Which crops became common in the Later Vedic period?,Tea and coffee,Wheat and rice,Cotton and jute,Millets only,Wheat and rice
Which animals were domesticated by the Aryans?,Horses cows goats sheep and dogs,Only elephants,Only camels,Only buffaloes,Horses cows goats sheep and dogs
Which animal was tamed during the Later Vedic period?,Tiger,Elephant,Lion,Deer,Elephant
What was the main mode of exchange in the Vedic Age?,Coins only,Barter system,Paper money,Banking,Barter system
Which was a gold coin in the Vedic Age?,Krishnala,Nishka and Satmana,Rupee,Dinar,Nishka and Satmana
Which was a silver coin in the Vedic Age?,Satmana,Krishnala,Nishka,Pana,Krishnala
Which pottery is associated with the Early Vedic period?,Painted Grey Ware,Ochre Coloured Pottery,Black and Red Ware,Northern Black Polished Ware,Ochre Coloured Pottery
Which pottery culture belonged to the Later Vedic period?,Ochre Coloured Pottery,Painted Grey Ware Culture,Black and Red Ware,Megalithic Ware,Painted Grey Ware Culture
What does Hiranya mean?,Iron,Gold,Copper,Silver,Gold
What does Shyama mean?,Iron,Gold,Copper,Silver,Iron
What does Ayas mean?,Gold,Silver,Copper or Bronze,Iron,Copper or Bronze
Which deity represented earth?,Prithvi,Agni,Varuna,Vayu,Prithvi
Which deity represented fire?,Indra,Agni,Varuna,Vayu,Agni
Which deity represented wind?,Agni,Vayu,Varuna,Prithvi,Vayu
Who was the rain god in the Vedic religion?,Agni,Varuna,Vishnu,Rudra,Varuna
Who was the thunder god in the Rig Vedic period?,Indra,Agni,Prajapathi,Vishnu,Indra
Which female deity represented eternity?,Aditi,Usha,Saraswati,Ganga,Aditi
Which female deity represented dawn?,Aditi,Usha,Saraswati,Ganga,Usha
What was the main form of worship in the Vedic Age?,Temple worship,Yajna (Sacrifice) and hymns,Idol worship,Pilgrimage,Yajna (Sacrifice) and hymns
For what did people pray during sacrifices?,Children cattle and wealth,Victory in elections,Industrial growth,Sea trade,Children cattle and wealth
Which animal was considered sacred in the Vedic period?,Horse,Cow,Elephant,Tiger,Cow
Was idol worship practiced in the Early Vedic period?,Yes,No,Only in villages,Only by priests,No
Which god emerged as the creator in the Later Vedic period?,Indra,Prajapathi,Agni,Varuna,Prajapathi
Who was considered the protector in the Later Vedic Trinity?,Rudra,Vishnu,Agni,Indra,Vishnu
Who was considered the destroyer in the Later Vedic Trinity?,Prajapathi,Rudra,Varuna,Indra,Rudra
What happened to priesthood in the Later Vedic period?,It disappeared,It became hereditary,It became democratic,It was abolished,It became hereditary
What was the Gurukula system?,Military camp,Residential education system,Temple administration,Trade guild,Residential education system
What does Guru mean?,Student,Teacher,Family,Forest,Teacher
What does Kula mean in Gurukula?,Temple,Family or home,Book,Kingdom,Family or home
Where did students live in the Gurukula system?,Palaces,With the Guru,Temples,Hostels,With the Guru
What was the method of teaching in the Gurukula system?,Printed books,Oral tradition,Digital learning,Written exams,Oral tradition
What type of learning was emphasized in Gurukula education?,Memorization and rote learning,Online learning,Industrial training,Scientific experiments,Memorization and rote learning
Which subjects were taught in Gurukula education?,Only Vedas,Vedas grammar logic ethics and military science,Only mathematics,Only astrology,Vedas grammar logic ethics and military science
Who could become Shishyas in the Gurukula system?,Only women,Only Sudras,Dvijas,Only kings,Dvijas
Who were called Dvijas?,Sudras only,Brahmanas Kshatriyas and Vaishyas,Women only,Priests only,Brahmanas Kshatriyas and Vaishyas
Which Ashrama represented student life?,Grihastha,Sanyasa,Brahmacharya,Vanaprastha,Brahmacharya
Which Ashrama represented married life?,Vanaprastha,Grihastha,Brahmacharya,Sanyasa,Grihastha
Which Ashrama meant going to the forest?,Sanyasa,Vanaprastha,Grihastha,Brahmacharya,Vanaprastha
Which Ashrama involved renouncing worldly life?,Grihastha,Sanyasa,Brahmacharya,Vanaprastha,Sanyasa
What was the aim of Sanyasa?,Trade,Attaining salvation,Political power,Military service,Attaining salvation
Which river regions were important archaeological areas of the Vedic Age?,Krishna and Kaveri,Indus and Ganges,Narmada and Tapi,Mahanadi and Godavari,Indus and Ganges
What was the original name of the Vaishyas in the Early Vedic period?,Jana,Vis,Grama,Kula,Vis
Which tribal kingdoms existed during the Early Vedic period?,Chera Chola and Pandya,Bharatas Matsyas and Puras,Mauryas and Guptas,Kurus and Satavahanas,Bharatas Matsyas and Puras
Which social system became rigid during the Later Vedic period?,Guild system,Varna system,Democratic system,Urban system,Varna system
What was denied to women in the Later Vedic period?,Marriage,Education,Agriculture,Music,Education
Which deity lost importance in the Later Vedic period?,Prajapathi,Vishnu,Indra and Agni,Rudra,Indra and Agni
What was the meaning of the word Arya?,Warrior,Noble,Trader,Priest,Noble
What was the chief duty of the Rajan?,Collect taxes only,Protect the tribe,Conduct trade,Build temples,Protect the tribe
Which assembly disappeared completely in the Later Vedic period?,Sabha,Samiti,Vidhata,Gana,Vidhata
Which factor increased the power of kings in the Later Vedic period?,Trade unions,Complex sacrifices,Foreign invasions,Sea trade,Complex sacrifices
What was the basis of the Varna system in the beginning?,Birth,Occupation,Religion,Language,Occupation
What did the Varna system become later?,Flexible,Rigid and birth-based,Temporary,Democratic,Rigid and birth-based
Which right was denied to women even in the Early Vedic period?,Education,Property rights,Marriage,Ritual participation,Property rights
Were temples present in the Early Vedic period?,Yes,No,Only in cities,Only for kings,No
