Question,Option A,Option B,Option C,Option D,Correct Answer
What type of houses did early agricultural people build?,Mud houses with thatched roofs,Stone palaces,Concrete buildings,Wooden towers,Mud houses with thatched roofs
Which was the first domesticated animal?,Cow,Horse,Dog,Goat,Dog
Which animals were domesticated later for milk and food?,Hen goat and cow,Elephant and camel,Tiger and lion,Deer and rhino,Hen goat and cow
Which animal was domesticated later for heavy labour?,Dog,Cow,Oxen,Hen,Oxen
What is the Barter System?,Selling with money,Exchange of goods without money,Banking system,Tax system,Exchange of goods without money
Why did barter begin?,Religious ceremonies,Surplus exchange between groups,Political wars,Industrial growth,Surplus exchange between groups
What did barter system eventually lead to?,Forests only,Marketplaces towns and cities,Caves,Temples,Marketplaces towns and cities
Which rock art site is located in Villupuram district?,Keelvalai,Porivarai,Usilampatti,Mavadaippu,Keelvalai
Which site features stick-like human figures and symbols?,Usilampatti,Keelvalai,Kumuthipathi,Porivarai,Keelvalai
Which site in Madurai district is famous for cave figures?,Usilampatti,Keelvalai,Mavadaippu,Porivarai,Usilampatti
Which site depicts hunting and group dancing?,Kumuthipathi,Keelvalai,Porivarai,Usilampatti,Kumuthipathi
Which site shows wild animals and hunting scenes?,Mavadaippu,Keelvalai,Usilampatti,Lothal,Mavadaippu
Porivarai Cave is located in which district?,Madurai,Nilgiris,Coimbatore,Villupuram,Nilgiris
Porivarai Cave is located at which place?,Karikaiyur,Keezhadi,Pallavaram,Lascaux,Karikaiyur
Porivarai Cave is famous for being one of the largest rock art sites in?,North India,South India,East Asia,Europe,South India
Which stage came after Australopithecus?,Homo habilis,Homo erectus,Neanderthal,Homo sapiens,Homo habilis
Which stage came after Homo habilis?,Cro-Magnons,Homo erectus,Homo sapiens,Neanderthal,Homo erectus
Which stage came after Homo erectus?,Neanderthal,Australopithecus,Homo habilis,Cro-Magnons,Neanderthal
Which stage is closest to modern humans?,Homo sapiens,Australopithecus,Homo habilis,Homo erectus,Homo sapiens
Which prehistoric humans are known for hunting and gathering society?,Homo sapiens,Homo erectus,Australopithecus,Homo habilis,Homo sapiens
Which prehistoric humans used bone harpoons and spears?,Cro-Magnons,Neanderthals,Homo erectus,Homo habilis,Cro-Magnons
Which prehistoric stage existed around 300000 years ago?,Homo sapiens,Cro-Magnons,Homo erectus,Homo habilis,Homo sapiens
Which prehistoric stage existed around 50000 years ago?,Cro-Magnons,Homo erectus,Homo habilis,Australopithecus,Cro-Magnons
