Question,Opt1,Opt2,Opt3,Opt4,CorrectAnswer
Which site revealed evidence of iron smelting and steel production?,Kodumanal,Keezhadi,Korkai,Adichanallur,Kodumanal
Which ancient port was associated with Yavana trade?,Puhar,Madurai,Uraiyur,Kanchi,Puhar
What were foreign traders called in Sangam literature?,Yavanas,Aryas,Mlecchas,Hunas,Yavanas
Which imported items were brought by Yavanas?,Gold and wine,Rice and cotton,Pearls and pepper,Sugar and tea,Gold and wine
Which archaeological site revealed Roman rouletted ware pottery?,Arikamedu,Keezhadi,Adichanallur,Korkai,Arikamedu
Which Tamil port city was destroyed by sea erosion around 200 AD?,Poompuhar,Madurai,Korkai,Uraiyur,Poompuhar
Which evidence proves literacy in Sangam Tamil society?,Tamil-Brahmi inscriptions,Persian records,Vedic chants,Mughal coins,Tamil-Brahmi inscriptions
Which ancient Tamil city had a mint for Roman coins?,Madurai,Korkai,Uraiyur,Vanchi,Madurai
Which foreign account refers to Pandya kingdom ruled by a woman?,Megasthenes,Pliny,Ptolemy,Strabo,Megasthenes
Which archaeological site near Tirunelveli is known for megalithic burials?,Adichanallur,Keezhadi,Kodumanal,Arikamedu,Adichanallur
Which port connected Tamilakam with Alexandria through maritime trade?,Muziris,Korkai,Uraiyur,Kanchi,Muziris
Which ancient Tamil trade was closely linked with the Roman Empire?,Pepper trade,Rice trade,Tea trade,Horse breeding,Pepper trade
Which period saw the growth of Jain and Buddhist literature in Tamil?,Kalabhra period,Sangam Age,Pallava Age,Imperial Chola Age,Kalabhra period
