Question,Option A,Option B,Option C,Option D,Correct Answer
Mercury is named after which Roman deity?,The God of War,The Messenger to the Gods,The God of the Sea,The Sky Father,The Messenger to the Gods
Why does Mercury experience extreme variations in temperature?,It is too large,It has no atmosphere,It is made of gas,It has many moons,It has no atmosphere
Which of the following is true regarding Mercury's satellites?,It has one large moon,It has two small moons,It has no natural satellites,It has rings instead of moons,It has no natural satellites
According to the text Mercury can be viewed with the naked eye during which times?,Midnight only,Noon only,Morning and evening,Only during eclipses,Morning and evening
Which Tamil literary work mentions that the Sun is surrounded by planets?,Sirupanatruppadai,Silappathikaram,Pattinapaalai,Thirukkural,Sirupanatruppadai
What force keeps the eight planets revolving in their respective orbits?,Magnetic pull,Atmospheric pressure,Gravitational pull of the Sun,Centrifugal force,Gravitational pull of the Sun
In the mnemonic 'My Very Educated Mother Just Showed Us Neptune' what does 'Mother' represent?,Mercury,Mars,Moon,Milky Way,Mars
Which planet is called the ‘Earth’s twin’ due to its similar size?,Mercury,Mars,Venus,Jupiter,Venus
What is the duration of the longest rotation period in the Solar system held by Venus?,100 days,365 days,243 days,88 days,243 days
Besides Uranus which other planet rotates in the opposite direction to all others?,Earth,Venus,Mars,Neptune,Venus
Which celestial body is the only natural object brighter than Venus in the night sky?,The Sun,The Moon,Mars,Jupiter,The Moon
Venus is named after the Roman goddess of what?,War and Power,Wisdom and Arts,Love and beauty,Agriculture and Harvest,Love and beauty
Why is Venus frequently called the Morning Star and the Evening Star?,It changes color,It is often visible at those times,It orbits the Moon,It has two suns,It is often visible at those times
What is the Earth's rank in terms of size in the solar system?,Third largest,First largest,Fifth largest,Eighth largest,Fifth largest
Why is Earth referred to as the ‘blue planet’ or ‘watery planet’?,The sky is blue,Three-fourth is covered by water,It is made of blue ice,It has a blue atmosphere,Three-fourth is covered by water
What is unique about the naming of Earth compared to other planets?,It is named after a king,It is not named after any Greek or Roman deity,It is named after a star,It was named by NASA,It is not named after any Greek or Roman deity
Which three factors make life possible on Earth according to the text?,Gold water and fire,Land air and water,Rocks plants and ice,Sunlight wind and gravity,Land air and water
What is the equatorial diameter of the Earth?,12714 km,150 million km,12756 km,30 km,12756 km
At what speed does the Earth revolve around the Sun?,30 km per second,800 km per hour,300,000 km per second,330 m per second,30 km per second
How long would it take a flight traveling at 800 km per hour to reach the Sun from Earth?,8.3 minutes,150 million years,21 years,4.5 billion years,21 years
What is the distance between the Sun and the Earth?,150 million km,300,000 km,12,756 km,1.3 million km,150 million km
Which planet is the third from the Sun?,Mercury,Venus,Earth,Mars,Earth
Which planet is the second smallest in the solar system after Mercury?,Venus,Mars,Earth,Neptune,Mars
Mars is named after which Roman God?,The God of Love,The God of War,The God of the Sea,The Messenger God,The God of War
What substance on its surface gives Mars its distinct red color?,Copper oxide,Magnesium,Iron oxide,Sulfur,Iron oxide
Which celestial body besides Earth is mentioned to have polar ice caps?,Venus,Mercury,Jupiter,Mars,Mars
Mars is the ____ planet from the Sun.,Second,Third,Fourth,Fifth,Fourth
What type of atmosphere does Mars have according to the text?,Thick and heavy,Extremely cold,Thin,No atmosphere,Thin
What was the name of the Mars mission launched by ISRO?,Chandrayaan,Mangalyan,Gaganayaaan,Aditya-L1,Mangalyan
On which date did the Mars Orbiter Mission (MOM) reach the orbit of Mars?,15th August 2014,24th September 2014,22nd October 2008,1st January 2015,24th September 2014
Which space agency was NOT mentioned as having reached Mars before ISRO?,NASA,European Space Agency,Soviet Space programme,China National Space Administration,China National Space Administration
What was the primary purpose of the Mangalyan mission?,To land humans,To analyze atmosphere and topography,To find liquid water,To build a space station,To analyze atmosphere and topography
How many natural satellites does Mars have?,None,One,Two,Four,Two
What are the names of the two natural satellites of Mars?,Titan and Rhea,Phobos and Deimos,Io and Europa,Moon and Charon,Phobos and Deimos
Despite being closer to the Sun than Venus why is Mercury not the hottest planet?,It is too small,Venus has a thick heat-trapping atmosphere,Mercury reflects all light,The Sun is colder near Mercury,Venus has a thick heat-trapping atmosphere
Which rank did ISRO achieve globally in reaching the orbit of Mars?,First,Second,Third,Fourth,Fourth
Which planet is the largest in the solar system?,Saturn,Jupiter,Earth,Neptune,Jupiter
Jupiter is named after which figure from Roman mythology?,The God of Agriculture,The King of the Gods,The Messenger of the Gods,The God of War,The King of the Gods
What is Jupiter's brightness rank in the night sky?,First brightest,Second brightest,Third brightest,Fifth brightest,Third brightest
After the Moon and Venus which is the third brightest object in the night sky?,Mars,Jupiter,Saturn,Mercury,Jupiter
Which planet is described as the fastest spinning planet in the solar system?,Earth,Jupiter,Saturn,Mars,Jupiter
Which two gases primarily make up the atmosphere of Jupiter?,Oxygen and Nitrogen,Hydrogen and Helium,Carbon and Neon,Methane and Argon,Hydrogen and Helium
According to the text which planet has the largest number of natural satellites?,Mars,Saturn,Jupiter,Uranus,Jupiter
Which of the following is NOT listed as one of the large satellites of Jupiter?,Io,Europa,Titan,Callisto,Titan
Saturn is the ____ largest planet in the solar system after Jupiter.,First,Second,Third,Fourth,Second
Saturn is named after the Roman god of:,The Sea,Agriculture,War,Beauty,Agriculture
What are the rings of Saturn mostly made of?,Liquid water and gas,Ice rocks and dust particles,Solid gold,Carbon dioxide,Ice rocks and dust particles
How many natural satellites does Saturn have according to the text?,30,50,62,79,62
What is unique about Saturn's moon Titan?,It is the only satellite with clouds and a dense atmosphere,It is larger than Jupiter,It is made of pure ice,It has no gravity,It is the only satellite with clouds and a dense atmosphere
What are the primary components of Titan's atmosphere?,Oxygen and Hydrogen,Nitrogen and Methane,Helium and Neon,Carbon dioxide,Nitrogen and Methane
What is true about the specific gravity of Saturn?,It is equal to water,It is more than water,It is less than water,It is the same as the Sun,It is less than water
Which planet was the first to be discovered using a telescope?,Saturn,Jupiter,Uranus,Neptune,Uranus
Who discovered the planet Uranus in 1781?,Pliny the Elder,William Herschel,Galileo Galilei,Nicolaus Copernicus,William Herschel
Why does Uranus appear green in color?,Presence of Oxygen,Presence of Methane,Presence of Iron Oxide,Presence of Nitrogen,Presence of Methane
Uranus is named after the Greek god of:,The Sea,The Sky,Agriculture,War,The Sky
Which planet rotates from east to west (retrograde) similar to Venus?,Mars,Jupiter,Uranus,Neptune,Uranus
Why is Uranus described as the 'Somersaulting Planet'?,It moves faster than light,It orbits the Sun on its sides like a rolling ball,It changes direction every year,It jumps over other planets,It orbits the Sun on its sides like a rolling ball
How many natural satellites does Uranus have?,14,27,62,5,27
What is the largest moon of Uranus?,Titan,Triton,Titania,Deimos,Titania
Which planet is the farthest from the Sun?,Saturn,Uranus,Neptune,Mars,Neptune
Neptune is named after the Roman god of:,The Sky,The Sea,The Underworld,The Sun,The Sea
How many natural satellites are associated with Neptune?,27,14,62,8,14
What is the largest moon of Neptune?,Titania,Triton,Phobos,Europa,Triton
What distinguishes Neptune's appearance from Uranus?,Its green color,Striking blue and white features,Its many rings,It has no clouds,Striking blue and white features
Which planet is described as having 'strong winds' and being one of the coldest?,Mars,Saturn,Jupiter,Neptune,Neptune
According to the HOTS section why would Saturn float in a large enough ocean?,It is made of wood,Its density is less than water,It is filled with air,It is smaller than the Moon,Its density is less than water
Where are dwarf planets typically found in the solar system?,Between Mars and Jupiter,Beyond the planet Neptune,Between the Sun and Mercury,Inside the Earth's orbit,Beyond the planet Neptune
Which of the following is a characteristic of dwarf planets that distinguishes them from planets?,They are square in shape,They are extremely hot,They can share their orbit with other dwarf planets,They do not revolve around the Sun,They can share their orbit with other dwarf planets
How many dwarf planets in our solar system are specifically named in the text?,Three,Four,Five,Eight,Five
Which of the following is NOT one of the five dwarf planets mentioned?,Pluto,Ceres,Europa,Eris,Europa
What are the shapes of dwarf planets described as?,Irregular,Almost spherical,Perfectly flat,Cylindrical,Almost spherical
How is a natural satellite defined in the text?,A body that orbits the Sun,A celestial object that revolves around a planet,A man-made communication device,A star that has died,A celestial object that revolves around a planet
How long does the Moon take to revolve around the Earth?,24 hours,365 days,27 days and 8 hours,30 days,27 days and 8 hours
What is unique about the Moon's rotation and revolution time?,Rotation is faster,Revolution is faster,They take about the same time,The moon does not rotate,They take about the same time
What characterizes the surface of the Moon?,Vast oceans of water,Craters created by meteor impacts,Thick forests,Active volcanoes,Craters created by meteor impacts
What is the approximate distance between the Moon and the Earth?,150 million km,300000 km,384400 km,12756 km,384400 km
What is the size of the Moon compared to the Earth?,Half the size,One-quarter of the Earth,Double the size,Same size,One-quarter of the Earth
Which is the only celestial body besides Earth where humans have landed?,Mars,Venus,The Moon,Pluto,The Moon
Why does the Moon have no weather or sound protection according to its description?,It has no atmosphere,It is too far from the Sun,It is made of cheese,It rotates too slowly,It has no atmosphere
Why do we always see only one side of the Moon?,The Moon does not rotate,The Moon does not revolve,The time for rotation and revolution is the same,The Moon is flat,The time for rotation and revolution is the same
In which year did ISRO launch India’s first ever Moon mission Chandrayaan-1?,2000,2005,2008,2014,2008
What are asteroids also known as?,Gas giants,Planetoids or Minor Planets,Shooting stars,Nebulae,Planetoids or Minor Planets
Between which two planets is the asteroid belt located?,Earth and Mars,Mars and Jupiter,Jupiter and Saturn,Saturn and Uranus,Mars and Jupiter
What are the two main parts of a comet?,Core and Crust,Head and Tail,Ring and Sphere,Peak and Base,Head and Tail
What is the head of a comet primarily made of?,Liquid water,Solid particles held by ice,Molten lava,Pure oxygen,Solid particles held by ice
What is the tail of a comet made of?,Gases,Rocks,Dust,Ice,Gases
Which is the most famous comet that visits Earth every 76 years?,Encke’s Comet,Halley’s Comet,Hale-Bopp,Hyakutake,Halley’s Comet
In which year did Halley’s Comet last appear?,1961,1986,2008,2021,1986
When is Halley’s Comet predicted to appear next?,2050,2061,2100,2086,2061
What is the common name for meteors that appear as streaks of light in the sky?,Falling rocks,Planetoids,Shooting Stars,Solar flares,Shooting Stars
What is a meteor called when it actually strikes the Earth’s surface?,Meteoroid,Meteorite,Asteroid,Comet,Meteorite
How does the text describe a meteor?,A ball of gas,A stone-like or metallic body,A small star,A liquid sphere,A stone-like or metallic body
What happens to most meteors when they enter the Earth’s atmosphere?,They grow larger,They stop moving,Most of them burn,They turn into planets,Most of them burn
